GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015091311,2015-09-13,2,6,39,TEN,TB,2,9,73,,0,,0,"(6:39) 20-B.SANKEY RIGHT GUARD TO TB 24 FOR 3 YARDS (93-G.MCCOY).",0,,,2015,3,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",27,OPP,0,,0,,0
2015091311,2015-09-13,2,0,48,TB,TEN,1,10,20,,1,,0,"(:48) (SHOTGUN) 3-J.WINSTON PASS SHORT LEFT TO 34-C.SIMS TO TB 38 FOR 18 YARDS (54-A.WILLIAMSON, 33-M.GRIFFIN).",0,,,2015,18,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,20,OWN,0,,0,,0
2015091311,2015-09-13,4,14,21,TEN,TB,1,15,60,,0,,0,"(14:21) 22-D.MCCLUSTER LEFT GUARD TO TB 35 FOR 5 YARDS (51-D.LANSANAH).",0,,,2015,5,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT GUARD",40,OPP,0,,0,,0
2015091311,2015-09-13,4,12,36,TB,TEN,1,10,28,,0,,0,"(12:36) 34-C.SIMS LEFT TACKLE TO TB 35 FOR 7 YARDS (90-D.JONES).",0,,,2015,7,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",28,OWN,0,,0,,0
2015091311,2015-09-13,4,2,12,TEN,TB,1,10,16,,0,,0,"(2:12) 7-Z.METTENBERGER KNEELS TO TEN 15 FOR -1 YARDS.",0,,,2015,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,16,OWN,0,,0,,0
2015091311,2015-09-13,4,2,0,,TEN,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091312,2015-09-13,1,6,36,DAL,NYG,2,10,85,,0,,0,"(6:36) (SHOTGUN) 9-T.ROMO PASS SHORT LEFT TO 82-J.WITTEN PUSHED OB AT NYG 10 FOR 5 YARDS (38-T.MCBRIDE). PASS COMPLETE ON A ""DRAG"" ROUTE.",0,,,2015,5,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,15,OPP,0,,0,,0
2015091312,2015-09-13,2,0,39,,NYG,0,0,0,,1,,0,"TIMEOUT #1 BY NYG AT 00:39.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091312,2015-09-13,3,9,48,NYG,DAL,0,0,35,,1,,0,"3-J.BROWN KICKS 65 YARDS FROM NYG 35 TO END ZONE, TOUCHBACK. BALL WAS KICKED OUT OF THE END ZONE.",0,,,2015,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2015091312,2015-09-13,3,1,50,DAL,NYG,2,6,12,,0,,0,"(1:50) 21-J.RANDLE RIGHT GUARD TO DAL 13 FOR 1 YARD (47-U.UNGA).",0,,,2015,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",12,OWN,0,,0,,0
2015091312,2015-09-13,3,1,4,DAL,NYG,3,5,13,,1,,0,"(1:04) (SHOTGUN) 9-T.ROMO PASS SHORT LEFT TO 83-T.WILLIAMS TO DAL 20 FOR 7 YARDS (20-P.AMUKAMARA). PASS COMPLETE ON A ""COMEBACK CURL"" ROUTE.",0,,,2015,7,SHOTGUN,PASS,0,1,0,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,13,OWN,0,,0,,0
2015091400,2015-09-14,1,0,0,,PHI,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091400,2015-09-14,2,7,11,ATL,PHI,1,10,23,,0,,0,"(7:11) 2-M.RYAN PASS INCOMPLETE SHORT LEFT TO 84-R.WHITE.",0,,,2015,0,"UNDER CENTER",PASS,0,1,1,0,"SHORT LEFT",0,0,0,,0,0,0,0,0,0,,23,OWN,0,,0,,0
2015091400,2015-09-14,2,0,0,,PHI,0,0,0,,1,,0,"END QUARTER 2",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015091400,2015-09-14,3,13,20,PHI,ATL,2,8,92,,1,,0,"(13:20) (NO HUDDLE, SHOTGUN) 29-D.MURRAY RIGHT END FOR 8 YARDS, TOUCHDOWN.",0,,,2015,8,"NO HUDDLE SHOTGUN",RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,"RIGHT END",8,OPP,0,,0,,0
2015091401,2015-09-14,1,0,5,SF,MIN,3,9,30,,0,,0,"(:05) (SHOTGUN) PENALTY ON SF-66-M.MARTIN, FALSE START, 5 YARDS, ENFORCED AT SF 30 - NO PLAY.",0,,,2015,0,SHOTGUN,"NO PLAY",0,0,0,0,,0,0,0,,0,0,0,1,0,0,,30,OWN,1,SF,1,"FALSE START",5
